Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time,Total Nights,Checkin_Month,Checkin_Day_of_Week,Is_Weekend,Total_Guests
M,50,Latino,College,<25K,South,Airport Hotels,2,2,0,FB,Yes,Yes,No Deposit,Online,No,No-Show,Yes,5,106,208,2,9,2,0,4
F,26,Latino,College,<25K,East,Airport Hotels,2,2,0,FB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,15,117,76,1,9,2,0,4
F,21,caucasian,Mid-School,50K -- 100K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-Out,Yes,10,174,188,1,9,2,0,4
F,60,Latino,College,50K -- 100K,West,Airport Hotels,3,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,217,121,1,9,2,0,5
F,70,African American,Mid-School,25K --50K,East,Resort,4,2,0,FB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,10,239,146,1,9,2,0,6
F,18,caucasian,High-School,<25K,West,Airport Hotels,2,2,0,BB,No,No,Refundable,Online,No,Check-Out,No,0,238,139,2,9,2,0,4
M,54,Latino,College,50K -- 100K,East,Resort,2,2,0,FB,No,No,Refundable,Online,No,No-Show,No,0,128,197,1,9,2,0,4
F,50,caucasian,Mid-School,<25K,West,City Hotel,2,2,2,HB,No,No,Non-Refundable,Online,Yes,Check-Out,No,0,177,49,3,9,2,0,6
F,24,Latino,Grad,50K -- 100K,North,Airport Hotels,2,1,2,FB,Yes,No,Refundable,Online,Yes,No-Show,Yes,40,107,62,1,9,2,0,5
F,42,African American,College,<25K,East,City Hotel,2,2,1,FB,No,No,Refundable,Online,Yes,Check-Out,No,0,141,45,2,9,2,0,5
M,69,African American,Grad,25K --50K,North,Airport Hotels,1,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,118,72,1,9,2,0,4
M,32,African American,College,50K -- 100K,West,City Hotel,1,3,2,FB,No,No,Non-Refundable,Direct,Yes,Check-Out,Yes,25,114,65,2,9,2,0,6
M,36,Latino,College,50K -- 100K,West,City Hotel,2,1,0,BB,No,No,No Deposit,Direct,No,Check-Out,No,0,247,82,2,9,2,0,3
M,59,Asian American,Mid-School,<25K,South,Resort,2,1,0,HB,No,No,No Deposit,Direct,No,Canceled,No,0,101,100,3,9,2,0,3
F,22,Asian American,High-School,<25K,West,Resort,1,1,0,FB,No,No,Refundable,Online,Yes,Canceled,Yes,5,182,91,2,9,2,0,2
F,60,African American,Grad,>100K,North,City Hotel,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,10,166,122,1,9,2,0,3
M,52,caucasian,College,50K -- 100K,North,Airport Hotels,3,3,2,HB,No,No,No Deposit,Direct,No,Check-Out,No,0,133,134,2,9,2,0,8
F,20,Asian American,High-School,25K --50K,West,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Direct,No,Canceled,Yes,10,150,207,1,9,2,0,3
F,46,caucasian,Mid-School,<25K,South,Airport Hotels,2,3,0,HB,No,No,No Deposit,Agent,No,No-Show,Yes,20,130,30,1,9,2,0,5
M,34,caucasian,Grad,50K -- 100K,East,City Hotel,2,2,1,BB,No,No,No Deposit,Agent,Yes,Canceled,Yes,25,102,133,1,9,2,0,5
F,41,caucasian,High-School,>100K,South,Resort,1,1,0,HB,No,No,Refundable,Online,Yes,Canceled,Yes,10,124,66,1,9,2,0,2
F,63,African American,Grad,>100K,North,Resort,1,3,0,HB,No,No,No Deposit,Online,No,No-Show,Yes,5,205,116,1,9,2,0,4
M,51,Latino,College,<25K,West,Airport Hotels,1,1,1,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,20,156,89,1,9,2,0,3
M,47,Asian American,High-School,<25K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,5,116,161,2,9,2,0,2
M,70,Latino,High-School,50K -- 100K,North,Airport Hotels,1,1,0,HB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,25,183,161,3,9,2,0,2
F,45,African American,High-School,50K -- 100K,East,Resort,2,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,143,133,4,9,2,0,4
F,70,Asian American,Grad,<25K,South,Resort,2,2,0,HB,No,No,Non-Refundable,Online,Yes,Check-Out,No,0,172,184,3,9,2,0,4
M,57,African American,High-School,<25K,North,Airport Hotels,2,1,0,FB,Yes,No,Refundable,Online,Yes,No-Show,Yes,5,243,82,2,9,2,0,3
F,63,Latino,College,50K -- 100K,South,City Hotel,2,1,2,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,5,191,189,2,9,2,0,5
F,56,Asian American,College,<25K,East,City Hotel,3,1,2,HB,No,No,Refundable,Direct,Yes,Canceled,Yes,10,205,155,4,9,2,0,6
M,30,Asian American,Mid-School,50K -- 100K,West,Resort,2,1,0,FB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,158,149,4,9,2,0,3
F,56,caucasian,Mid-School,25K --50K,South,Airport Hotels,1,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,222,36,3,9,2,0,2
M,28,caucasian,College,50K -- 100K,South,Resort,1,2,0,FB,No,No,No Deposit,Online,No,Check-Out,Yes,15,217,26,1,9,2,0,3
F,22,caucasian,College,50K -- 100K,South,Airport Hotels,1,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,5,208,100,2,9,2,0,3
M,25,caucasian,College,25K --50K,West,Airport Hotels,2,3,0,BB,No,No,No Deposit,Online,Yes,Canceled,No,0,250,93,2,9,2,0,5
M,60,Asian American,College,25K --50K,South,Resort,3,1,0,BB,No,No,No Deposit,Online,No,Canceled,Yes,40,195,87,1,9,3,0,4
M,70,African American,Grad,50K -- 100K,South,City Hotel,2,2,0,FB,No,No,Refundable,Direct,Yes,Canceled,Yes,40,219,66,1,6,5,1,4
F,34,African American,High-School,<25K,East,Resort,2,1,0,FB,No,No,Non-Refundable,Agent,Yes,No-Show,Yes,5,134,112,3,9,3,0,3
M,40,caucasian,College,50K -- 100K,West,City Hotel,1,3,1,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,133,162,3,9,3,0,5
M,42,African American,High-School,>100K,South,Resort,1,1,0,BB,No,No,Refundable,Online,Yes,No-Show,No,0,208,215,2,9,3,0,2
M,69,Asian American,College,25K --50K,West,City Hotel,2,3,0,BB,Yes,Yes,No Deposit,Direct,No,Canceled,Yes,15,249,139,1,9,3,0,5
M,18,Asian American,Mid-School,25K --50K,South,Airport Hotels,2,2,0,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,5,217,152,1,9,3,0,4
M,46,Latino,High-School,25K --50K,South,Resort,1,1,1,FB,No,No,No Deposit,Online,No,Check-Out,Yes,15,101,22,1,9,3,0,3
M,51,caucasian,Grad,<25K,North,Airport Hotels,4,2,0,HB,No,No,No Deposit,Online,Yes,Check-Out,No,0,209,196,3,9,3,0,6
M,56,African American,College,25K --50K,East,City Hotel,1,3,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,224,166,1,9,3,0,4
M,63,Latino,College,25K --50K,East,City Hotel,1,2,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,149,137,2,9,3,0,4
M,48,African American,Mid-School,25K --50K,South,Airport Hotels,3,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,10,198,143,2,9,3,0,5
M,65,African American,Grad,25K --50K,East,City Hotel,4,2,1,HB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,106,42,4,9,3,0,7
M,49,African American,Grad,<25K,East,City Hotel,5,1,0,FB,Yes,Yes,No Deposit,Direct,No,Check-Out,Yes,25,119,10,4,9,3,0,6
M,42,Latino,High-School,>100K,West,Resort,2,1,0,FB,No,No,No Deposit,Direct,Yes,Canceled,Yes,20,219,171,4,9,3,0,3
M,26,Asian American,Mid-School,25K --50K,North,Airport Hotels,2,2,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,30,222,177,1,9,3,0,4
M,54,Asian American,College,50K -- 100K,South,Resort,2,1,0,FB,No,No,No Deposit,Online,No,Check-Out,Yes,5,228,193,2,9,3,0,3
F,70,Asian American,College,50K -- 100K,South,Airport Hotels,4,3,0,BB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,15,204,220,2,9,3,0,7
F,55,Latino,College,50K -- 100K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,206,18,1,9,3,0,2
M,26,African American,High-School,<25K,East,City Hotel,2,1,0,FB,Yes,No,Refundable,Online,Yes,Canceled,Yes,10,249,148,4,9,3,0,3
F,67,Latino,College,<25K,South,Resort,1,1,0,FB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,125,218,3,9,3,0,2
M,18,caucasian,College,25K --50K,East,Airport Hotels,2,1,0,HB,No,No,No Deposit,Agent,No,Check-Out,Yes,30,226,5,1,9,6,1,3
F,26,Latino,High-School,50K -- 100K,North,Resort,3,2,1,HB,Yes,No,Refundable,Direct,Yes,Check-Out,Yes,10,185,122,4,9,0,0,6
M,63,Asian American,Mid-School,50K -- 100K,East,Airport Hotels,3,1,1,HB,Yes,No,Refundable,Online,Yes,Canceled,No,0,192,13,4,9,3,0,5
M,30,Latino,High-School,>100K,South,City Hotel,3,1,0,HB,No,No,No Deposit,Online,No,Check-Out,Yes,15,161,73,4,9,3,0,4
F,70,Latino,High-School,25K --50K,East,Resort,5,1,0,FB,Yes,No,Refundable,Agent,No,Canceled,No,0,244,111,1,9,3,0,6
M,60,African American,Grad,<25K,South,Resort,5,3,1,FB,No,No,No Deposit,Online,No,No-Show,Yes,25,230,130,1,9,3,0,9
F,65,African American,College,50K -- 100K,North,City Hotel,2,1,0,FB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,25,245,181,2,9,3,0,3
M,46,African American,Grad,>100K,West,Resort,1,3,0,BB,No,No,Refundable,Online,Yes,Canceled,Yes,10,221,67,1,9,3,0,4
F,48,African American,College,<25K,West,Resort,1,3,0,FB,Yes,No,Non-Refundable,Online,Yes,Canceled,Yes,20,246,18,3,9,3,0,4
F,23,Latino,Mid-School,<25K,North,Resort,1,2,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,161,64,1,9,3,0,4
F,60,caucasian,Grad,50K -- 100K,North,Airport Hotels,2,2,0,BB,Yes,No,Non-Refundable,Direct,Yes,No-Show,Yes,10,105,172,1,9,3,0,4
M,60,Asian American,High-School,50K -- 100K,West,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,Yes,Canceled,Yes,40,185,34,3,9,3,0,3
M,21,Latino,College,50K -- 100K,East,Resort,3,3,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,10,134,18,2,9,4,0,6
F,66,caucasian,Mid-School,50K -- 100K,North,Resort,3,1,0,FB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,223,187,3,9,4,0,4
M,63,Asian American,High-School,25K --50K,West,Airport Hotels,1,3,1,FB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,10,228,146,4,9,4,0,5
M,50,Latino,High-School,<25K,North,Airport Hotels,1,1,1,BB,No,No,No Deposit,Online,No,Check-Out,No,0,223,87,4,9,4,0,3
M,39,African American,Mid-School,25K --50K,North,Airport Hotels,3,3,0,BB,No,No,No Deposit,Online,No,Canceled,Yes,10,243,87,1,9,4,0,6
M,57,African American,College,25K --50K,South,Airport Hotels,2,2,1,BB,Yes,No,Refundable,Direct,Yes,Check-Out,Yes,20,123,170,1,9,4,0,5
F,21,African American,College,50K -- 100K,South,Airport Hotels,4,2,1,HB,No,No,Refundable,Online,Yes,Canceled,No,0,152,207,2,9,4,0,7
F,52,Asian American,Grad,50K -- 100K,West,Airport Hotels,1,2,0,FB,No,No,No Deposit,Online,No,No-Show,Yes,10,215,35,1,9,6,1,3
F,20,African American,College,<25K,West,Airport Hotels,2,1,0,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,140,98,3,9,4,0,3
M,54,Latino,College,50K -- 100K,South,Airport Hotels,1,3,0,HB,No,No,Refundable,Direct,No,Check-Out,Yes,10,109,27,2,9,4,0,4
F,57,Latino,High-School,25K --50K,West,Resort,4,1,0,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,40,158,66,3,9,2,0,5
F,50,Asian American,Mid-School,25K --50K,South,Airport Hotels,4,1,1,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,40,189,91,1,9,4,0,6
M,39,caucasian,High-School,25K --50K,South,Airport Hotels,2,2,0,BB,No,No,No Deposit,Direct,No,Check-Out,No,0,172,44,1,9,4,0,4
F,56,African American,High-School,25K --50K,East,Airport Hotels,4,1,1,BB,Yes,Yes,No Deposit,Online,No,No-Show,Yes,10,159,32,4,9,4,0,6
M,34,Asian American,College,25K --50K,South,Airport Hotels,5,1,0,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,238,26,3,9,4,0,6
F,51,Latino,College,25K --50K,North,Resort,1,1,0,FB,No,No,No Deposit,Direct,Yes,Canceled,Yes,20,219,142,2,7,6,1,2
M,42,Asian American,Grad,<25K,South,City Hotel,1,2,1,FB,Yes,No,Non-Refundable,Online,Yes,Check-Out,Yes,5,154,133,1,9,4,0,4
F,43,Asian American,College,50K -- 100K,South,Airport Hotels,1,2,0,FB,No,No,No Deposit,Online,Yes,Check-Out,No,0,204,218,2,9,4,0,3
M,23,Latino,Grad,<25K,North,Airport Hotels,2,1,0,BB,Yes,Yes,Refundable,Direct,Yes,Check-Out,Yes,5,159,195,1,9,4,0,3
F,30,Latino,College,25K --50K,North,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,Yes,Canceled,Yes,5,208,72,1,9,4,0,3
F,43,African American,High-School,50K -- 100K,West,City Hotel,2,3,1,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,40,239,64,1,9,4,0,6
M,62,African American,College,>100K,South,Airport Hotels,1,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,158,22,1,9,4,0,2
M,39,caucasian,College,>100K,South,Airport Hotels,2,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,190,40,2,9,4,0,4
M,69,Latino,College,<25K,West,Resort,4,1,0,FB,No,No,Refundable,Online,Yes,No-Show,Yes,10,249,186,1,9,4,0,5
M,65,African American,College,25K --50K,North,Airport Hotels,1,1,0,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,5,186,102,3,9,5,1,2
M,56,Latino,High-School,<25K,East,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,Yes,Canceled,No,0,134,108,1,9,5,1,3
M,56,Latino,College,<25K,South,Resort,1,1,0,BB,No,No,Non-Refundable,Direct,Yes,No-Show,Yes,5,221,117,3,9,5,1,2
F,56,caucasian,Grad,<25K,East,Airport Hotels,3,2,0,HB,No,No,Refundable,Direct,Yes,No-Show,Yes,20,185,100,3,9,5,1,5
F,34,Asian American,College,50K -- 100K,East,Airport Hotels,2,3,0,HB,Yes,Yes,Non-Refundable,Online,Yes,Check-Out,No,0,127,146,1,9,5,1,5
F,26,African American,College,25K --50K,South,Resort,3,2,0,HB,Yes,Yes,Refundable,Agent,Yes,Canceled,Yes,20,121,196,1,9,5,1,5
M,42,caucasian,College,25K --50K,North,Resort,4,2,0,HB,Yes,No,Non-Refundable,Online,No,Check-Out,Yes,10,214,108,1,9,5,1,6
M,25,Latino,High-School,25K --50K,North,Resort,5,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,246,163,4,9,5,1,8
F,19,Latino,College,<25K,West,Resort,1,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,30,132,108,1,9,5,1,2
M,55,African American,Grad,<25K,South,Airport Hotels,1,2,0,FB,Yes,No,No Deposit,Online,No,Check-Out,Yes,20,128,135,1,9,5,1,3
F,41,African American,College,25K --50K,South,Resort,1,2,0,HB,No,No,No Deposit,Direct,Yes,Canceled,Yes,40,244,208,3,9,5,1,3
F,62,Latino,Grad,25K --50K,North,City Hotel,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,184,158,1,9,5,1,3
F,45,Asian American,Mid-School,25K --50K,East,City Hotel,2,1,0,HB,No,No,Non-Refundable,Online,No,Check-Out,Yes,40,157,84,3,9,5,1,3
F,34,African American,Mid-School,>100K,South,Resort,2,3,1,BB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,5,218,65,4,9,6,1,6
M,59,Latino,High-School,25K --50K,South,Resort,2,3,0,BB,Yes,No,No Deposit,Direct,No,Check-Out,Yes,20,160,161,1,9,6,1,5
M,64,Asian American,College,50K -- 100K,South,Resort,2,3,0,FB,No,No,No Deposit,Direct,Yes,Canceled,Yes,20,141,174,2,9,6,1,5
F,66,caucasian,High-School,50K -- 100K,South,City Hotel,1,2,0,BB,Yes,No,Refundable,Direct,Yes,Canceled,No,0,236,170,2,2,2,0,3
M,30,African American,Mid-School,25K --50K,East,Airport Hotels,2,2,1,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,244,48,2,9,6,1,5
M,38,Latino,High-School,25K --50K,East,Resort,2,3,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,30,204,61,3,9,6,1,5
F,64,caucasian,College,50K -- 100K,South,City Hotel,3,1,0,HB,No,No,Non-Refundable,Online,Yes,No-Show,Yes,25,191,83,4,9,6,1,4
F,53,African American,College,50K -- 100K,South,City Hotel,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,15,138,92,1,9,6,1,4
F,28,caucasian,College,25K --50K,North,Resort,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,20,171,211,2,9,6,1,3
M,69,African American,Mid-School,<25K,East,Resort,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,165,19,2,9,6,1,5
M,36,Asian American,College,50K -- 100K,East,Airport Hotels,4,3,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,132,206,1,9,6,1,7
M,55,Latino,Grad,50K -- 100K,South,Airport Hotels,2,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,183,200,2,9,6,1,4
F,31,Asian American,College,50K -- 100K,West,Airport Hotels,3,1,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-Out,Yes,10,242,214,2,9,6,1,4
F,36,Latino,College,>100K,South,City Hotel,2,1,0,FB,No,No,No Deposit,Direct,No,Check-Out,Yes,5,117,89,2,9,6,1,3
M,19,Latino,High-School,50K -- 100K,West,City Hotel,1,2,0,HB,Yes,No,No Deposit,Agent,Yes,Check-Out,Yes,20,231,185,3,9,6,1,3
M,21,caucasian,Grad,25K --50K,East,Airport Hotels,3,1,0,BB,Yes,No,No Deposit,Online,No,No-Show,Yes,10,241,198,1,9,6,1,4
M,69,African American,Grad,<25K,West,Airport Hotels,3,2,0,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,147,205,1,9,6,1,5
F,22,caucasian,College,50K -- 100K,West,Airport Hotels,2,1,0,HB,No,No,Non-Refundable,Agent,No,Check-Out,No,0,166,93,1,9,6,1,3
F,35,African American,Grad,25K --50K,South,Resort,5,1,0,FB,No,No,No Deposit,Agent,Yes,No-Show,Yes,10,192,60,1,9,6,1,6
F,25,Asian American,Grad,<25K,South,Resort,1,1,0,BB,Yes,Yes,Refundable,Online,No,No-Show,Yes,20,187,45,1,9,6,1,2
F,59,Asian American,High-School,25K --50K,South,City Hotel,3,2,0,FB,No,No,Refundable,Agent,No,Canceled,Yes,15,224,85,1,9,6,1,5
F,65,Latino,Grad,<25K,South,Resort,4,1,0,HB,Yes,No,Refundable,Online,Yes,Canceled,Yes,20,203,130,2,9,6,1,5
F,58,African American,High-School,>100K,North,Airport Hotels,1,3,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,172,193,1,9,6,1,4
M,26,caucasian,College,50K -- 100K,East,Airport Hotels,3,1,1,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,20,237,24,3,9,0,0,5
F,60,caucasian,Grad,50K -- 100K,East,Resort,1,1,0,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,25,244,37,3,9,0,0,2
M,47,African American,College,25K --50K,South,Airport Hotels,1,1,0,HB,No,No,No Deposit,Direct,Yes,No-Show,Yes,25,120,141,2,9,0,0,2
F,70,African American,Grad,50K -- 100K,South,Airport Hotels,1,3,0,FB,No,No,Refundable,Online,Yes,Canceled,Yes,5,236,54,2,9,0,0,4
M,41,Asian American,Grad,<25K,South,Resort,4,3,0,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,174,146,1,9,0,0,7
F,37,African American,College,50K -- 100K,East,Airport Hotels,2,2,1,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,25,169,207,1,9,0,0,5
M,31,African American,Mid-School,<25K,South,City Hotel,5,1,1,FB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,179,8,3,9,0,0,7
F,21,Latino,Mid-School,25K --50K,South,Resort,2,3,0,FB,No,No,No Deposit,Online,Yes,Check-Out,No,0,195,196,2,9,0,0,5
M,54,Asian American,High-School,50K -- 100K,North,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,No-Show,No,0,205,73,2,9,0,0,3
M,47,Latino,Grad,<25K,East,Airport Hotels,1,1,0,FB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,30,142,175,1,9,0,0,2
M,60,caucasian,College,<25K,North,Resort,2,1,0,FB,No,No,No Deposit,Agent,No,Check-Out,Yes,30,136,210,1,9,0,0,3
M,20,African American,Grad,25K --50K,West,City Hotel,1,2,0,HB,No,No,No Deposit,Agent,Yes,No-Show,No,0,189,115,3,9,0,0,3
F,70,Asian American,College,50K -- 100K,South,City Hotel,2,2,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,40,193,89,1,9,0,0,4
F,37,caucasian,College,50K -- 100K,South,Airport Hotels,3,2,1,FB,No,No,No Deposit,Direct,Yes,Canceled,Yes,10,112,64,2,9,0,0,6
M,63,caucasian,Mid-School,25K --50K,West,City Hotel,1,2,0,FB,No,No,No Deposit,Online,No,Check-Out,Yes,20,120,31,2,9,0,0,3
F,67,caucasian,Grad,25K --50K,West,City Hotel,2,2,0,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,5,118,171,4,9,0,0,4
M,45,caucasian,College,50K -- 100K,East,Airport Hotels,3,2,0,FB,No,No,No Deposit,Direct,No,Check-Out,Yes,10,221,50,3,9,0,0,5
F,49,African American,High-School,25K --50K,West,City Hotel,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-Out,No,0,237,218,2,9,0,0,3
F,65,Asian American,College,25K --50K,North,City Hotel,3,2,0,FB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,5,106,34,1,9,0,0,5
M,61,African American,College,50K -- 100K,South,Airport Hotels,1,2,0,HB,No,No,Refundable,Online,No,Check-Out,Yes,5,202,169,1,9,0,0,3
M,40,caucasian,College,>100K,South,Airport Hotels,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,No-Show,No,0,232,211,1,9,0,0,3
M,28,Asian American,College,<25K,East,City Hotel,1,2,1,FB,No,No,Refundable,Direct,Yes,Check-Out,Yes,10,148,217,4,9,0,0,4
M,22,Asian American,College,<25K,South,City Hotel,1,1,1,BB,Yes,Yes,No Deposit,Online,Yes,Canceled,Yes,5,132,103,4,5,0,0,3
M,61,Asian American,College,25K --50K,South,City Hotel,1,1,0,FB,Yes,No,No Deposit,Direct,Yes,Canceled,Yes,10,165,201,3,9,0,0,2
F,53,caucasian,Mid-School,50K -- 100K,East,Airport Hotels,4,3,0,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,227,37,1,9,1,0,7
M,42,African American,High-School,50K -- 100K,South,Airport Hotels,2,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,25,193,179,1,9,1,0,4
M,64,Latino,College,25K --50K,West,City Hotel,2,2,1,HB,No,No,Non-Refundable,Direct,No,Check-Out,Yes,30,105,50,2,9,1,0,5
F,48,Latino,College,>100K,North,Airport Hotels,2,3,2,BB,Yes,No,No Deposit,Agent,No,Canceled,Yes,40,153,102,2,9,1,0,7
M,53,Latino,Mid-School,<25K,West,City Hotel,3,3,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,30,176,3,1,9,1,0,6
F,35,caucasian,Mid-School,50K -- 100K,East,Resort,1,2,0,FB,No,No,Refundable,Direct,Yes,Check-Out,Yes,20,116,63,1,9,1,0,3
F,60,Latino,College,25K --50K,West,Airport Hotels,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,239,43,2,9,1,0,4
M,52,caucasian,Mid-School,50K -- 100K,South,City Hotel,2,2,0,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,131,130,3,9,1,0,4
F,69,African American,Grad,50K -- 100K,West,City Hotel,5,3,1,FB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,210,86,2,9,1,0,9
F,56,Latino,High-School,<25K,North,City Hotel,2,3,0,HB,No,No,Refundable,Online,No,Check-Out,Yes,5,224,67,1,9,1,0,5
F,51,caucasian,Grad,25K --50K,West,Airport Hotels,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,166,132,3,9,1,0,4
M,31,Asian American,Mid-School,>100K,South,City Hotel,1,2,1,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,30,116,141,1,9,1,0,4
M,28,Asian American,College,>100K,North,Resort,3,1,0,FB,No,No,No Deposit,Direct,No,Check-Out,Yes,25,170,212,2,9,1,0,4
F,68,Latino,High-School,25K --50K,West,Airport Hotels,2,2,1,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,No,0,183,108,1,9,1,0,5
F,26,African American,College,<25K,West,Resort,3,2,2,HB,No,No,No Deposit,Online,Yes,No-Show,Yes,25,131,26,1,9,1,0,7
F,38,Latino,College,25K --50K,East,City Hotel,2,2,0,FB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,40,149,210,2,9,2,0,4
M,41,Latino,Mid-School,25K --50K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,129,62,1,9,2,0,4
M,21,Asian American,College,50K -- 100K,South,City Hotel,5,2,0,HB,No,No,No Deposit,Online,Yes,Check-Out,No,0,201,65,1,9,2,0,7
M,43,Asian American,Grad,>100K,East,Resort,2,1,0,HB,No,No,No Deposit,Direct,No,Check-Out,No,0,122,73,2,9,2,0,3
F,66,Latino,Mid-School,<25K,North,Resort,5,2,0,BB,Yes,No,Refundable,Online,No,Canceled,No,0,173,95,1,7,3,0,7
M,53,caucasian,High-School,25K --50K,North,Resort,2,2,0,FB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,5,204,8,1,9,2,0,4
M,46,Asian American,Grad,25K --50K,East,Resort,3,1,1,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-Out,No,0,176,199,1,9,2,0,5
F,41,Latino,Mid-School,50K -- 100K,South,Resort,1,2,0,FB,No,No,Refundable,Online,No,Canceled,Yes,20,233,31,1,9,2,0,3
F,37,Asian American,High-School,50K -- 100K,South,Airport Hotels,4,1,0,BB,No,No,No Deposit,Direct,Yes,Canceled,Yes,5,232,142,1,9,2,0,5
M,56,African American,College,>100K,West,Airport Hotels,3,1,2,BB,No,No,No Deposit,Agent,Yes,Canceled,Yes,15,162,172,4,7,1,0,6
M,35,caucasian,College,>100K,North,Resort,3,2,0,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,20,168,71,1,9,2,0,5
